Name,Internal Reference,Sales Price,Cost,Product Type,Product Category,Can be Sold,Can be Purchased,Available in POS,Internal Categories,Sales Description
Men's Green Wash N Wear Plain Suit Summer,MZ-0000,2510,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Men Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Pakistani Flag Metal Badges Set of 5 for 14th August,MZ-0001,370,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Accessories,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Patriotic Azaadi Bundle Sunglasses Watch Mask Set,MZ-0002,750,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Accessories,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Premium Quality Green Jade Bracelets for Women,MZ-0003,870,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
2 Pcs Women's Unstitched Lawn Digital Print Suit,MZ-0004,1480,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Printed Hair Bands for Girls Pack of 2,MZ-0005,429,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Enamel Clover Brooch for Women,MZ-0006,669,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Women Fashion,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Green Linen 2Pcs Frock & Jacket Set,MZ-0007,2530,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Kids & Toys,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Non-Fiction Book: AI Modern Magic or Dangerous Future A5,MZ-0008,584,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
Urdu Novel Hum Kaha Kay Sachay Thay by Umera Ahmad,MZ-0009,701,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
The Silent Patient by Alex Michaelides,MZ-0010,483,,Storable Product,All / Saleable,TRUE,TRUE,FALSE,Books & Stationery,Cash on Delivery · 3-5 din delivery · 7-day easy returns
